customer_id,credit_score,credit_history_years,number_of_defaults,last_default_year
C00001,693,15,1,2021.0
C00002,787,24,1,2018.0
C00003,797,24,0,
C00004,796,18,0,
C00005,725,4,1,2019.0
C00006,698,1,2,2016.0
C00007,780,8,0,
C00008,774,3,0,
C00009,776,13,0,
C00010,332,7,4,2024.0
C00011,661,7,1,2017.0
C00012,776,8,0,
C00013,733,6,1,2018.0
C00014,668,16,1,2023.0
C00015,665,21,1,2017.0
C00016,788,18,0,
C00017,301,7,5,2021.0
C00018,481,10,2,2021.0
C00019,732,15,1,2018.0
C00020,748,8,1,2015.0
C00021,655,9,1,2024.0
C00022,726,7,0,
C00023,699,16,1,2019.0
C00024,702,24,0,
C00025,681,6,2,2020.0
C00026,764,20,1,2023.0
C00027,727,3,0,
C00028,783,3,0,
C00029,763,14,1,2021.0
C00030,750,1,0,
C00031,461,4,4,2021.0
C00032,784,13,0,
C00033,698,11,2,2016.0
C00034,436,12,2,2023.0
C00035,552,5,4,2017.0
C00036,792,5,1,2021.0
C00037,684,10,2,2022.0
C00038,714,9,1,2023.0
C00039,784,10,0,
C00040,759,19,1,2020.0
C00041,752,18,1,2018.0
C00042,754,17,1,2019.0
C00043,783,12,0,
C00044,701,19,1,2017.0
C00045,796,8,0,
C00046,684,8,1,2015.0
C00047,788,2,1,2021.0
C00048,676,18,2,2016.0
C00049,359,4,3,2022.0
C00050,325,8,5,2024.0
C00051,709,13,1,2023.0
C00052,723,13,1,2023.0
C00053,769,2,0,
C00054,774,19,1,2024.0
C00055,661,7,1,2017.0
C00056,688,12,1,2015.0
C00057,690,7,1,2016.0
C00058,797,21,1,2018.0
C00059,678,21,1,2024.0
C00060,707,13,0,
C00061,685,18,2,2021.0
C00062,390,6,2,2023.0
C00063,753,14,1,2018.0
C00064,661,16,1,2020.0
C00065,765,2,0,
C00066,744,10,1,2023.0
C00067,670,13,1,2022.0
C00068,722,8,1,2018.0
C00069,660,21,1,2024.0
C00070,776,23,0,
C00071,699,5,2,2022.0
C00072,432,5,4,2024.0
C00073,664,17,1,2020.0
C00074,755,17,0,
C00075,654,13,2,2024.0
C00076,739,5,1,2018.0
C00077,797,4,1,2020.0
C00078,787,15,1,2016.0
C00079,330,10,2,2018.0
C00080,712,21,0,
C00081,677,19,2,2023.0
C00082,754,9,0,
C00083,750,24,0,
C00084,739,6,0,
C00085,709,5,0,
C00086,722,14,0,
C00087,728,22,0,
C00088,694,22,2,2020.0
C00089,681,20,2,2021.0
C00090,703,25,1,2020.0
C00091,742,6,0,
C00092,711,7,1,2021.0
C00093,660,2,2,2018.0
C00094,685,25,1,2016.0
C00095,767,19,0,
C00096,545,12,2,2017.0
C00097,721,19,1,2024.0
C00098,756,14,1,2016.0
C00099,701,5,0,
C00100,782,5,0,
C00101,715,13,1,2024.0
C00102,789,12,1,2020.0
C00103,670,10,1,2016.0
C00104,779,15,1,2015.0
C00105,591,24,3,2023.0
C00106,683,19,2,2021.0
C00107,789,5,0,
C00108,375,16,3,2017.0
C00109,792,16,1,2023.0
C00110,702,6,1,2016.0
C00111,365,13,5,2018.0
C00112,752,16,1,2015.0
C00113,590,10,4,2015.0
C00114,698,23,1,2018.0
C00115,740,12,1,2018.0
C00116,364,1,3,2021.0
C00117,713,10,0,
C00118,498,1,5,2018.0
C00119,788,13,1,2019.0
