customer_id,pre_approved_personal_loan_limit,interest_rate,max_tenure_months,offer_validity_days
C00001,403767,17.11,60,27
C00002,363916,17.22,60,58
C00003,1000000,13.36,60,40
C00004,850570,16.41,60,19
C00005,483936,16.21,24,15
C00006,634016,16.58,24,21
C00007,1000000,14.95,36,30
C00008,1000000,15.5,24,49
C00009,546990,10.38,60,21
C00010,649680,13.54,60,41
C00011,1000000,16.99,60,32
C00012,969947,10.51,36,44
C00013,1000000,13.44,36,31
C00014,1000000,10.0,60,46
C00015,1000000,12.7,48,46
C00016,1000000,14.43,60,45
C00017,1000000,14.93,60,43
C00018,1000000,13.28,60,28
C00019,357669,11.87,24,43
C00020,1000000,15.98,60,28
C00021,419391,13.25,48,17
C00022,993255,12.91,24,30
C00023,691840,14.48,60,42
C00024,819630,14.06,12,42
C00025,577830,10.0,12,37
C00026,682011,11.88,48,27
C00027,1000000,10.71,24,16
C00028,421486,14.53,12,39
C00029,1000000,15.56,12,38
C00030,952552,10.79,12,48
C00031,1000000,16.76,48,17
C00032,1000000,14.45,12,16
C00033,562572,13.93,60,23
C00034,732130,14.52,60,30
C00035,516030,16.08,60,55
C00036,297632,10.0,36,37
C00037,480186,12.06,36,35
C00038,1000000,13.58,24,30
C00039,549346,10.42,24,33
C00040,702980,14.6,24,56
C00041,405630,13.09,48,43
C00042,363946,11.62,48,17
C00043,1000000,10.36,60,32
C00044,1000000,11.53,36,54
C00045,996944,13.87,36,19
C00046,1000000,10.0,48,20
C00047,1000000,10.5,48,53
C00048,1000000,10.99,36,36
C00049,1000000,13.43,24,50
C00050,694368,14.98,12,35
C00051,949536,12.98,24,39
C00052,1000000,10.0,60,30
C00053,1000000,11.53,36,24
C00054,594888,11.17,36,40
C00055,1000000,10.0,12,37
C00056,627756,16.17,60,60
C00057,690624,16.75,24,23
C00058,670690,12.28,36,42
C00059,312232,17.59,12,18
C00060,889218,11.35,36,34
C00061,440955,14.17,24,42
C00062,1000000,15.78,48,31
C00063,588910,14.79,24,28
C00064,1000000,15.19,60,41
C00065,1000000,12.88,60,54
C00066,1000000,12.8,48,27
C00067,1000000,14.68,12,24
C00068,1000000,12.5,36,27
C00069,901719,14.12,36,17
C00070,999250,14.1,36,18
C00071,690822,14.98,60,60
C00072,1000000,10.0,12,43
C00073,455841,10.0,12,53
C00074,811656,15.41,36,33
C00075,729560,10.4,24,32
C00076,403792,12.81,24,15
C00077,837888,16.13,60,50
C00078,1000000,10.12,24,16
C00079,586496,15.01,48,47
C00080,1000000,12.89,12,16
C00081,1000000,10.44,36,51
C00082,944606,10.81,12,15
C00083,1000000,16.32,48,20
C00084,276993,16.32,36,17
C00085,1000000,11.5,36,39
C00086,1000000,10.0,60,41
C00087,480366,10.1,48,40
C00088,1000000,11.97,36,17
C00089,657261,12.84,60,31
C00090,339112,12.79,36,60
C00091,1000000,16.36,36,42
C00092,850216,15.52,60,21
C00093,1000000,12.89,48,35
C00094,843640,10.58,24,16
C00095,1000000,12.92,24,40
C00096,321174,12.27,60,32
C00097,921096,14.59,12,56
C00098,1000000,15.91,48,48
C00099,585840,15.6,24,49
C00100,611545,11.77,48,56
C00101,601821,14.93,12,48
C00102,1000000,11.44,12,59
C00103,1000000,11.7,24,50
C00104,1000000,10.37,24,51
C00105,1000000,11.17,12,29
C00106,1000000,16.02,36,26
C00107,673704,13.04,24,51
C00108,416432,10.0,48,43
C00109,967140,13.13,24,35
C00110,708210,16.02,36,26
C00111,713108,11.27,12,56
C00112,1000000,10.5,48,45
C00113,601667,11.67,12,43
C00114,942648,15.12,60,44
C00115,1000000,10.0,60,54
C00116,1000000,12.08,24,16
C00117,714987,14.04,48,53
C00118,364452,15.06,36,35
C00119,370584,10.99,48,29
C00120,658688,11.95,12,41
C00121,1000000,14.72,12,47
C00122,1000000,13.7,24,26
C00123,349047,12.46,36,44
C00124,1000000,11.93,48,57
C00125,1000000,14.97,60,50
C00126,1000000,12.3,12,36
C00127,636066,15.03,48,51
C00128,1000000,15.98,60,50
C00129,1000000,10.91,48,27
C00130,511433,14.05,36,59
